Text,Label
ट्रम्प हमारे लोकतंत्र के लिए खतरा हैं इसके अलावा अगर मेरा पक्ष किसी एक मुद्दे पर हार जाता है तो मैं इस कुतिया को बंद करने की योजना बनाता हूं दंगों गृह युद्ध,1
ज़िंदगी हर कदम एक नई जंग है तस्वीर विशाल भटनागर  फ़ोटो वाया गेटी इमेजेस,0
ईरान पूरे क्षेत्र को अस्थिर कर रहा है नैटो,0
यह फिल्म हर हाल में गौतम यानी नायक के फैसलों को उचित ठहराती चलती है,0
संयुक्त राष्ट्र की चेतावनी कोरोना महामारी के कारण आ सकता है अकाल लाइव अपडेट्स  तस्वीर गेटी इमेजेस,0
कोरोना वायरस अमरिंदर सिंह ने कहा क्या करना है ये केंद्र हम पर छोड़ दे,0
सन्  में हुई भोपाल की गैस ट्रैजेडी पर बनी यह फिल्म वीं सदी के जानलेवा हादसे की वजहों और प्रभाव को समेट नहीं पाती,0
स्पेन जहां लेफ़्ट और राइट के साथ आए बिना नहीं बन सकती सरकार,0
चीन को लेकर मोदी सरकार के बयानों में इतना विरोधाभास क्यों है,0
यह साला गुंडा वैसे लग रहा है साला गली का गुंडा है भगाओ साले को भगाओ राज्यसभा से भगाओ साले को गुंडे,1
मोदी सरकार का करोड़ों का पैकेज आर्थिक बदहाली क्यों नहीं रोक पाया,0
फ्रांस के लोग बातबात पर सड़कों पर क्यों उतर आते हैं,0
तू तो एक नंबर का मादरचोद निकला।,1
साला कहें तो भी कम है तेरे लिए।,1
ईको टूरिज्म होने के कारण यह अभयारण्य प्रकृति प्रेमियों के लिए एक आकर्षण है,0
वो बहनचोद है किसी की बहन को बुरा भला कहता है,1
सेना में कमांड पोस्ट पर महिलाएं होंगी या नहीं सुप्रीम कोर्ट का फ़ैसला आज,0
घटिया कहें तो भी कम है तेरे लिए।,1
हरामी लग रहा है आज तू।,1
में  का काम कैसा है फ़िल्म को कितने स्टार मिले वीडियो विदित मेहरादेबलिन रॉय,0
इंच के इस फोन को एल्यूमिनियम यूनिबॉडी कंस्ट्रक्शन से बनाया गया है,0
सारा अली ख़ान ने क्यों कहा मैं बोलना शुरू करूं तो रोज़ धमाके हों,0
जेपी नड्डा के साथ भाजपा में नये दौर का आग़ाज़,0
शाहीन बाग़ जब आधी रात को शाहीन बाग दो हिस्सों में बंट गया,0
कोरोना वायरसः क्या आप दोबारा संक्रमित हो सकते हैं,0
रुक जा कोरोना,0
वह लगातार इम्प्रूव कर रही हैं,0
कश्मीर में आज दिन में क्या हलचल रही बता रहे हैं बीबीसी संवाददाता रियाज़ मसरूर,0
उल्टा चोर कोतवाल को डांटे जैसा घटिया इंसान मैंने आज तक नहीं देखा।,1
क्योंरी गंजेडी कुतिया,1
मध्य प्रदेश बाग़ी विधायकों ने बताया कमलनाथ से क्यों हैं नाराज़,0
साले हरामी लोग जैसे तेरे जैसे होते हैं।,1
हा सेंगर और चिन्मयंनद तो भगवान है साले रेपिस्ट कहीं के उनके टाइम क्यू मुंह में दही जाम जाती है तुम जैसे लोगों की,1
कोरोना बिहार में नीतीश सरकार की वो ग़लतियाँ तो बन गई हैं गले की फाँस,0
कुत्ता जैसा घटिया इंसान मैंने आज तक नहीं देखा।,1
अयोध्या में मुस्लिम पक्षकार ने माना अयोध्या में पैदा हुए थे राम  पाँच बड़ी ख़बरें,0
रिया के आने के बाद ही सुशांत की हालत बिगड़ी थी सुशांत के परिवार के वकील,0
भोसड़ी वाला बनना बंद कर सब समझ आ रहा है।,1
इस टेबलेट में  इंच की एचडी डिस्पले स्क्रीन    पिक्सल रेजोल्युशन के साथ दी गई है,0
इतने घटिया मत बनो।,1
इसकी  एमएएच की बैटरी इसे विशेष बनाती है,0
तू सच में मादरचोद है क्या,1
गांडू बनने का शौक है तुझे,1
कोरोना वायरस बच्चों को हो रही है ये दुर्लभ बीमारी,0
पिता और अपने कर्म पर ट्वीट पर क्यों फंसी सोनम कपूर,0
ये साले अपने बाप मोदी का मूत पीकर पले बड़े होते हैं इसलिए इनको देश की हालातों से क्या मतलब।,1
कोरोना वायरस सऊदी अरब की शान अरामको को एपल ने पछाड़ा,0
इन मठों का रखरखाव अलग  अलग देशों के बौद्धधर्मी करते हैं,0
मुझे तुम्हारा गांडू स्वभाव पसंद नहीं।,1
भोसड़ीवाले आखिर तुने अपनी औकात दिखा ही दिया। तु साले एक नम्बर काकमीना है रे हरामी,1
साला बहन चोद,1
तू कितना बड़ा भोसड़ी वाला है ये सब जानते हैं।,1
साले हरामी कहीं का।,1
छिनाल बनकर क्या मिलेगा,1
लंदन में महाराजा दलीप सिंह के बेटे का घर बिकने को तैयार,0
अच्छा किया साले का सर फोड़ दिया गर्दन तोड़ देते तो और भी अच्छा होता साले को पता चल गया होगा हिंदुस्ता,1
तुझे तो सीधे साला बोलना चाहिए।,1
तेरी शक्ल ही भोसड़ी वाला जैसी है।,1
न्यूज़ीलैंड में क्रिकेट मैच देखना लाजवाब क्यों,0
गांडू कहीं का काम तो कर नहीं सकता,1
ये तो साला शकल से ही हरामी लगता है,1
पीवी सिंधुःवर्ष की सर्वश्रेष्ठ भारतीय महिला खिलाड़ी की नॉमिनी सिंधु बैडमिंटन में ओलंपिक सिल्वर मेडल जीतने वाली पहली भारतीय खिलाड़ी हैं पढ़िए उनके शानदार सफ़र के बारे में,0
नौटंकी जैसा घटिया इंसान मैंने आज तक नहीं देखा।,1
साला जैसा घटिया इंसान मैंने आज तक नहीं देखा।,1
कोरोना वायरस निज़ामुद्दीन मरकज़ के मरीज़ों से कैसे निपटेगी दिल्ली,0
फूल ख़ुशबू और चहचहाती आवाज़ें उम्मीद और दुआ है आपका दिन भी इतना ही सुंदर गुज़रे तस्वीर,0
तेरी शक्ल ही साले हरामी जैसी है।,1
बहुत बड़ा कमीना है तु इतना गली कैसे हज़म कर लेता तु चमड़े कितना मोटा है तेरा कु दिन भर भौकते रहता हैहै तु राहुल गांडू के चमचे होने पर तुझे सरम नही अता कहाँ से मिला तुझे जाहिल वाला सर्टिफिकेट,1
साला का मतलब ही तू है।,1
संजयसिंहगुंडाहै कमीना है सूअर की औलाद हरामी,1
इन सबमें कुछ भी अनर्गल नहीं है साला लेके रहेंगे आज़ादी भी बहुत हरामजादी चीज है एक नई सभ्यता जनम ले रही है पुरानी की थाली में छेद करके,1
इसकी पूरी बॉडी प्लास्टिक की बनी है पर पीछे की मैट जैसी फिनिशिंग अच्छी लगती है,0
गांडू बनकर रह गए हो क्या,1
एक जगह बोर्ड लगा था मात्र रु मे प्रधानमंत्री बनने का तरीका सीखे मैने जब अंदर जाकर देखा तो कमीने लोग चाय बनाना सिखा रहे थे।,1
महंगाई का क़ानून,0
भोसड़ी वाला कहें तो भी कम है तेरे लिए।,1
कोरोना संकट बिहार का प्रवासियों के लिए क्या प्लान है,0
नवजात बच्चा दिल्ली के अस्पताल में भर्ती और मां लेह में फिर भी हर रोज़ कैसे आया दूध वीडियो सौजन्यः मैक्स अस्पताल,0
तू पूरा का पूरा गांडू है।,1
खैरात पर पलने वाले पंचारिया तु कब से खेती करने लगा बे साले दंगाई आग लगाने के सिवा कुछ करते हों मदरसा छाप जाहिल चुप बैठ,1
जो बाइडन ने अमरीकी चुनाव को प्रकाश और अंधकार की जंग बताया,0
वे किरदार के आंतरिक द्वेष और प्रतिशोध को सही अनुपात में आत्मसात नहीं कर सके हैं,0
हर बात में नौटंकी करना बंद कर दे साले।,1
अर्पित का छोटा है। वाया पड़ोस वाली कुतिया,1
ये तो साला सही मे जेब कतरा ही होगा,1
तेरे जैसे साले हरामी से क्या ही उम्मीद करें,1
ऐसे में आपको जो भी नोटीफिकेशन देने होंगे वह सभी नोटिफिकेशंस आपको बोलकर देने होंगे,0
इसके डिस्प्ले के सतह पर कोई बटन नहीं है,0
कभी तो लौड़े का जैसा व्यवहार मत किया कर।,1
अबे सालो अपने कोई दलाल कभी कुछ बड़वा कहते रहोगे तो फिर साला जीत पाओगे तुम लोग जो है हैं अपनी इंसान को कभी गलत गलत कहते रहते हैं शर्म कर लो शर्म थोड़ी सी अपने समाज को इसलिए वक्त देता हूं समझ गए,1
जामिया की छात्राओं का आरोप पुलिस ने निजी अंगों पर हमले किए,0
तुझसे ज़्यादा घटिया इंसान आज तक नहीं देखा।,1
तेरी बहन की जैसा घटिया इंसान मैंने आज तक नहीं देखा।,1
कश्मीर की ये मां अपने बच्चों का इंतज़ार कर रही हैं कब पूरी होगी आस,0
लेकिन इस सच्चार्इ के अतिरिक्त कि ये सब उच्च गुणवत्ता वाले थे  मैंने यह भी महसूस किया कि साधारण सोर्स इसे कम नहीं कर पायेगा  यहां तक कि प्रारंभिक अनजान व्यक्ति की,0
ये साला टिकट ब्लैकिया इतनी हिम्मत लाता कहाँ से है,1
नेशनल कॉफ़्रेंस के नेता पीर आफ़ाक ने एक के बाद एक पीएसए लगाए जाने पर कहा कश्मीर में हमारे बोलने पर पाबंदी बाहर निकलने पर पाबंदी लाखों की तादाद में फौज लाई गई है वीडियो आमिर पीरज़ादा,0
क्या मोदी सरकार के पास महंगाई रोकने का उपाय नहीं है,0
छिनाल,1
वो पूरा हरामी निकला।,1
कश्मीर घाटी में सोमवार दोपहर से काम करेंगे पोस्टपेड मोबाइल,0
मेरे देश के हिन्दु बहुत निराले है। कुछ तो पक्के राम भक्त है और कुछ बाबर के साले है जय श्री राम,1
अखंड चूतिया,1
लौड़े का,1
चीन के लिए क्यों ख़ास बन गया है पाकिस्तान का बलूचिस्तान,0
उसकी छिनाल हरकतों ने सबको शर्मिंदा कर दिया,1
लौड़े के बल पर हीरो बनता है,1
मुझे तो ब्लाक करके भाग गये बहुत सारे शिखंडी सूवरो की औलाद यह भडवा शेख भौक रहा था मै नहीं भागूगा और अगर भागूगा तो खुद को रंडी की औलाद समझूगा और भाग गया अब कोई क्या समझे इसको यह समझना बाकी है,1
मानसी जोशी एक भारतीय पैराबैडमिंटन एथलीट हैं उन्होंने  में एक दुर्घटना के बाद अपना एक पैर खो दिया था पढ़िए उनके बारे में सब कुछ यहां,0
क्या गांडू जैसी हरकतें कर रहा है तू,1
उसकी रंडी वाली हरकतों ने सबको शर्मिंदा कर दिया,1
आपके प्रयास सराहनीय हैं,0
कोरोना वायरसः क्या इससे दुनिया की अर्थव्यवस्था तबाह हो सकती है,0
तू तो एक नंबर का रंडी निकला।,1
भारतीय मूल की कमला हैरिस होंगी जो बाइडन के साथ उपराष्ट्रपति पद की उम्मीदवार,0
अरविंद केजरीवाल सब भारी पड़ते क्यों दिख रहे,0
पाकिस्तान के पूर्व प्रधानमंत्री को हुआ कोरोना क्या है भारत का हाल,0
तुझे तो चुल्लू भर पानी में डूब मरना चाहिए जैसा घटिया इंसान मैंने आज तक नहीं देखा।,1
अफ़ग़ानिस्तान काबुल में हुई गोलीबारी  लोगों की मौत,0
किसानमजदूर कभी गुलामी नही करते कुत्ते गुलामी तो तेरे चमचे करतेजो नही करते उन्हें तू बाहर निकाल देताकमीनेगद्दार गुस्सा बहुत हैतेरी कमीनी हरकतों पर मुझे दल्ले हर हर महादेव,1
साला आईडी ही फर्जी नाम से चल रही है या कोई दल्ला चला रहा है,1
मेरी नही तेरी कमीने,1
साल के भवानी शंकर जब कोरोना से जंग जीतकर घर जाने लगे तो जयपुर के अस्पताल में इस तरह दी गई विदाई वीडियोः मोहर सिंह मीणा बीबीसी हिंदी के लिए,0
कोरोना लॉकडाउन ढील देने पर क्या चेतावनी दे रहे हैं ब्रितानी वैज्ञानिक,0
राहुल गांधी की कितनी छाप है कांग्रेस के नए बदलाव परः नज़रिया,0
कोरोना वायरस का संक्रमण पूर्वोत्तर भारत में न के बराबर क्यों है,0
ऐसे मादरचोद लोग ही माहौल खराब करते हैं।,1
गधी जैसा घटिया इंसान मैंने आज तक नहीं देखा।,1
मादरचोद,1
इससे अच्छा तो रंडी होना भी ठीक है।,1
अरे भाई काहे का बड़ा गुंडा भांड है साला।आप लोग बिलावजह इसे गुंडा न बनाओ हमारे यहाँ ऐसे छततिस है। सारी गुंडाई पिछवाड़े मे डाल देते है।,1
कोरोना को लेकर चीन की सरकारी समाचार एजेंसी ने अमरीका का इस तरह उड़ाया मज़ाक,0
पार्टियों में भरपेट खाना खाने के बाद घर आकर भी भूख क्यों लगती है,0
ये साले संजयसिंह को पकड़ के। इसकी गाँड लाल कर देनी चाहिये साला गुण्डा कहीका हरामी का पिल्ला,1
तू कितना बड़ा छिनाल है ये सब जानते हैं।,1
इसका मतलब अमिताभ की रगों में नेहरू का खून दौड़ रहा है साला परिवार है या छेदन।।,1
हरामी कहें तो भी कम है तेरे लिए।,1
जो कुतिया की चाल चलेगी वो कुतिया की मौत मरेगी,1
याद कर ले कुत्ते की मौत मरा था तू लोग,1
सालो मे तो पप्पू सरकार ने भारत को अमेरिका बना कर दिया था ना देश कि मा चोद कर दी लुटेरो ने और तू साला बकवास करता है इसे अच्छे से पडना झाहिल,1
लेपटॉप और टेबलेट दोनों एकसाथ की लेने की इच्छा रखने वालों के लिए यह सबसे अच्छा मौका है,0
रेलवे की बदहाली के लिए कौन ज़िम्मेदार,0
चीन ने आर्थिक मोर्चे पर भारत और अमरीका को कैसे पीछे छोड़ा,0
कुतिया केवल भौंक सकती है ।,1
पर्यटन को बढ़ावा देने के लिए इस फेस्टिवल को  में शुरू किया गया था जो दुनिया भर से लोगों को आकर्षित करने में सफल रहा,0
कोरोना लॉकडाउन से प्रभावित असंगठित क्षेत्र को सरकार क्या भूल गई है,0
शिवाजी के वंशज उदयनराजे बीजेपी में क्यों जा रहे हैं,0
कोरोना वायरसः लॉकडाउन के दौरान शराब की लत कैसे छोड़ें,0
इस माडल में  गुणा  पिक्सल के रिजोल्यूशन के चलते स्क्रीन पर औसत डिस्प्ले मिलता है,0
तुझ जैसा कमीना व घटिया आदमी नहीं देखा गया आज तकथू है तुझ पर।,1
अपनी दूसरी फिल्म में ही विक्रम सरल और सांद्र निर्देशक होने का संकेत देते हैं। ठोस उम्मीद जगाते हैं,0
अंधभक्त गाय के खून का वैक्सीन लगवा लेंगे लेकिन अपने आका मोदी का विरोध नहीं करेंगे सूअर का गुह है साले गौहत्याबंदकरोसरकार,1
फिल्म में अमिताभ बच्चन के असल जिंदगी से जुड़े अनुभव भी हैं,0
अनम हाशिम को लोगो ने पागल बोला कहा क्या चोरी करना चाहती हो लेकिन उन्होंने अपने हौसले बुलंद रखें और अब लोग उनके बाइक पर स्टंट राइडिंग देखकर रश्क करते हैं वीडियोः सुशीला सिंह और शुभम कौल,0
बहनचोद लग रहा है आज तू।,1
भारत माता को साल पहले एक लाल हुआ। और आज भारत माता को पीलिया हो गया साला सब कुछ बेच भी रहा है और और ऊपर से कर्ज भी ले रहा है लेकिन दे कुछ नही रहा सिवाए आश्वासन के मित्रो,1
कमिनी लोगो को चुतिया मत बनाव पहले देख ले कर्ज मुक्ति का वादा तो तेरे यार पपू ने किया था तो क्या हो गया क्या रंडी।।।,1
कोरोना वैक्सीन लोगों तक पहुँचने में लग सकते हैं ढाई साल,0
हरामी बनने से क्या फायदा,1
फुल एचडी वीडियो प्लेबैक के साथ ये टीवी डिजिटल नॉइस रिडक्शन तकनीक के साथ आता है,0
मोदी सरकार की वफ़ादारी में बीता मीडिया के लिए ये साल नज़रिया,0
क्या झाड़ रहा है जैसा घटिया इंसान मैंने आज तक नहीं देखा।,1
तेरी सोच कितनी बहनचोद है।,1
तेरे जैसे लौड़े का से क्या ही उम्मीद करें,1
यह अन्य फ्लैगशिप जैसे के सोनी क्स्पेरिया जेड  सैमसंग गैलेक्सी एस और एचटीसी वन एम की तुलना में बेहतर प्रदर्शन करता है  और निर्माण और अनुभव के मामले में भी अन्य फोन की तुलना में श्रेष्ठ है,0
पागल कुत्ते की तरह भौंक रहा है।,1
कोरोना वायरस पांच बीमारियां जिनके प्रकोप ने बदल दिया इतिहास,0
कोरोना वायरस अमरीका में एक ही परिवार के चार लोगों की मौत  की  कवरेज,0
अमरीका और चीन के बीच दुश्मनी की पांच वजह कौन सी हैं,0
हरामी का मतलब ही तू है।,1
कुछ वक्त के लिए वक्त और किस्मत क्या खराब हो गए। कभी जिनकी मिसालें दिया करते थे आज वो कुत्ते भी गद्दार हो गए। रणमेंभगवाधारी सरदारकेसाथशायरी,1
रंडी,1
यह डी कैमरा माइक्रोसॉफ्ट के किनेट डी कैमरे से ज्यादा तेज और सस्ता है,0
तेरी शक्ल ही हरामी जैसी है।,1
यहां जाने वाला हर कोई यहां की सुंदर वादियों से यह वादा करके वापस जाता है कि वह दोबारा फिर लद्दाख व लेह आएगा,0
सूजे मेरे बयान में खून हत्या और लोकतंत्र कि हत्या शब्द जरुर लाना जीजा का साला,1
इस मार्ग पर सफर करते हुए शाहबलूत से बुरूंश और लाल  पीले सेबों के ब़ागों से होते हुए किन्नौर कैलाश चोटी के जरिये प्रकृति को अपनी मनमोहक छवि को बदलते देखा जा सकता है,0
लौड़े के बाल,1
बहनचोद लोग जैसे तेरे जैसे होते हैं।,1
ये साले नेता बोलते है कि मैं किसान का बेटा हु मै किसान हु सालो जो किसान किसान रोना रोते हो जो एक रात के लिये खेत मे पानी लगाना पड़े तो गांव फट जायेगी तुम जैसे में घूमने वाले किसान का दर्द नही समझोगे,1
जिंक टैबलेट में यूएसबी होस्ट फीचर है जो यूएसबी फ्लैश स्टोरेज पर डाटा लिख और पढ़ सकता है,0
नहीं भूलेंगे भाई मैं मोदी का कट्टर समर्थक हुआ करता था लेकिन इन दिनों साला इतना दिमाग घूम गया है कि बस मोदी के नाम से ही नफरत होने लग गई मां कसम,1
पहले आर्टिकल  और अब कोरोनाः लगातार ख़तरे में कश्मीर का टूरिज्म सेक्टर,0
नागरिकता क़ानूनः विरोध प्रदर्शन में तीन की मौत हज़ारों हिरासत में,0
कोरोना संकट विमान यात्रा के लिए सेल्फ़ डिक्लेरेशन और आरोग्य ऐप स्टेटस ज़रूरी,0
एक हरि के नाम बिना ये नार कुतिया होए गली गली भोकत फिरे टूक ना डाले कोय,1
पाकिस्तान को पहला गोल्ड दिलाने वाला गुमनाम पहलवान,0
घर से मस्जिद है बहुत दूर चलो यूँ कर लें किसी रोते हुए बच्चे को हँसाया जाए  निदा फ़ाज़ली,0
तेरा बाप गटर के पानी से नहाता होगा सुवर। साला कोई अंध भक्त लगता है। किसानों की इज्जत करना सीख वरना भूखा मरेगा।,1
सेप्सिवैक दवा जिससे कोरोना के इलाज की है उम्मीद,0
साले हरामी ने फिर वही गलती दोहरा दी,1
नज़रिया राष्ट्रीय सुरक्षा सलाहकार अजीत डोभाल समाधान हैं या गहरी समस्या का संकेत,0
फिल्म में पाश्र्र्व संगीत बैकग्राउंड स्कोर का विशेष इस्तेमाल किया गया है,0
तू साला ध्यान का भूखा है बस।,1
चेसिस के नीचे  जिंक जेड  टैबलेट में सिंगल  कोर   विवान्टे जीसी  है,0
तेरी हरकतें पूरी की पूरी घटिया हैं।,1
शाहीन बाग में रेट फिक्स था। फातिमा के पिल्ले काफिरों नें मजे कर लिए मुस्लिम पर्सनल लॉ बोर्ड की मैया खोद दिया काफिरों नें मौलवी साला बकरी ढुढ़नें निकल गया था।,1
सवाल कोई राणा अय्यूब जितना घटिया कैसे हो सकता है सलमान निजामी हो सकता है मै हूं ना,1
पीएम किसान योजना  करोड़ किसानों के लिए  हज़ार करोड़ आज की बड़ी ख़बर,0
भोसड़ी वाले खुद पंचर बनाते हो और दूसरों को बोलते हो साले पंचर की औलाद,1
समस्तीपुर के इस राहत शिविर में अपना घरबार छोड़कर यहाँ पहुँचे लोग मदद के लिए पूरी तरह प्रशासन पर निर्भर हैं सभी तस्वीरें प्रियंका दुबे,0
करोड़ हिन्दुओं के भारत में स्कूल में वेद गीता पढ़ाए जाने पर आपत्ति क्यों ये साला जेहादी पना जब खत्म होगा।,1
तेरे जैसे साला से क्या ही उम्मीद करें,1
निकम्मा जैसा घटिया इंसान मैंने आज तक नहीं देखा।,1
क्या मादरचोद जैसी हरकतें कर रहा है तू,1
विरोध को लेकर अपनी बेटियों के ख़िलाफ़  होने के बाद बीजेपी पर भड़के मुनव्वर राना,0
के पक्ष में शबाना आज़मी ने डाला वीडियो पढ़ी जावेद अख़्तर की शायरी,0
कोरोना वायरस की त्रासदी से बिखरने लगा है पूरा यूरोप,0
पहाड़ों से मुंबई तक कंगना रनौत का सफ़र कामयाबी और विवादों से भरा रहा है स्टोरी इक़बाल परवेज़ फ़िल्म पत्रकार आवाज़ मानसी दाश,0
क्या चीन के दबाव में बदली गई  रिपोर्ट वीडियो सर्वप्रिया सांगवान और देबलिन रॉय,0
दिल्ली हिंसा के पीड़ित दो युवकों की कहानी,0
क्या घटिया जैसी हरकतें कर रहा है तू,1
मोदी ने  मई तक बढ़ाया लॉकडाउन  अप्रैल के बाद मिलेगी शर्तों के साथ छूट,0
साले हरामी बनना बंद कर सब समझ आ रहा है।,1
राहुल सावरकर वाले बयान पर क्या बोली बीजेपीशिव सेना,0
मेरा बाप तुम्हारे बाप की तरहां गांडू नहीं है। साला बुढा हो गया पर आब भी मराने का शोंक नहीं गया।,1
साले सब जाएगें जेल,1
